"beaksize"	"survival"
10,81	1
8,74	0
10,04	0
9,75	0
9,76	0
9,55	0
8,7	0
9,62	0
9,22	0
8,79	0
9,61	0
9,02	0
7,85	0
9,01	0
8,26	0
8,25	0
9,25	0
9,45	0
8,52	0
8,61	0
8,12	0
7,81	0
7,49	0
7,3	0
7,87	0
7,45	0
7,69	0
8,04	0
7,57	0
7,53	0
8,05	0
7,93	0
7,24	0
7,61	0
9,1	0
7,65	0
7,97	0
7,95	0
8,07	0
7,41	0
7,91	0
7,99	0
8,97	0
8,56	0
8,91	0
8,63	0
8,64	0
8,92	0
8,87	0
8,48	0
8,95	0
8,99	0
8,84	0
8,88	0
6,61	0
8,96	0
8,93	0
8,94	0
8,66	0
9,03	0
6,5	0
8,98	0
6,46	0
7,27	0
8,08	0
8,55	0
8,42	0
8,51	0
8,49	0
8,53	0
8,1	0
8,5	0
8,46	0
6,67	0
8,21	0
8,54	0
6,73	0
6,63	0
8,41	0
6,25	0
7,21	0
8,44	0
8,48	0
8,46	0
8,23	0
6,01	0
6,69	0
8,85	0
7,09	0
6,36	0
6,71	0
8,09	0
8,45	0
7,15	0
8,43	0
7,03	0
6,65	0
9,05	0
8,9	0
8,83	0
7,06	0
8,83	0
8,88	0
8,81	0
8,06	0
8,14	0
6,1	0
8,89	0
8,71	0
9,04	0
8,86	0
10,57	0
10,59	0
10,54	0
10,56	0
10,53	0
8,95	0
8,97	0
8,93	0
8,72	0
10,44	0
8,73	0
8,76	0
8,67	0
8,22	0
9,08	0
8,87	0
10,45	0
9,16	0
9,68	0
8,84	0
8,89	0
8,62	0
9,13	0
8,68	0
9,11	0
9,15	0
9,19	0
9,18	0
9,12	0
10,55	0
9,1	0
9,07	0
8,71	0
8,9	0
9,62	0
8,92	0
8,94	0
8,96	0
10,5	0
9,17	0
10,51	0
8,64	0
8,15	0
9,68	0
9,14	0
8,68	0
8,81	0
9,06	0
9,03	0
8,99	0
9,09	0
8,82	0
8,72	0
8,47	0
9,06	0
8,69	0
8,82	0
8,86	0
8,7	0
8,75	0
8,67	0
8,69	0
8,73	0
9,05	0
9,04	0
8,65	0
8,98	0
9,15	0
9,16	0
8,27	0
10,65	0
9,16	0
8,78	0
8,61	0
9,09	0
9,14	0
9,08	0
8,74	0
9,01	0
8,65	0
9,18	0
8,63	0
9,3	0
9,19	0
9,13	0
8,47	0
9,58	0
8,5	0
8,49	0
9,24	0
9,38	0
9,35	0
9,29	0
9,37	0
9,35	0
9,23	0
9,26	0
9,33	0
9,21	0
9,39	0
9,21	0
9,13	0
9,01	0
9,03	0
9,27	0
9,15	0
9,25	0
9,07	0
9,36	0
9,17	0
9,09	0
9,41	0
9,5	0
9,49	0
9,42	0
9,48	0
9,63	0
9,76	0
9,75	0
8,13	0
9,07	0
9,05	0
9,18	0
9,01	0
9,37	0
9,06	0
9,08	0
9,26	0
9,67	0
9,06	0
9,04	0
9,12	0
9,73	0
9,27	0
9,38	0
9,39	0
9,32	0
9,41	0
9,32	0
9,36	0
9,23	0
9,3	0
9,3	0
9,42	0
9,21	0
9,05	0
9,25	0
9,44	0
9,24	0
9,34	0
9,46	0
9,31	0
9,33	0
9,22	0
9,1	0
9,19	0
9,65	0
9,04	0
9,28	0
9,64	0
9,02	0
9,48	0
9,24	0
9,03	0
9,47	0
9,32	0
9,28	0
9,31	0
9,29	0
9,28	0
9,31	0
9,5	0
9,27	0
9,12	0
9,41	0
9,68	0
9,46	0
8,51	0
9,59	0
9,45	0
9,53	0
8,44	0
9,56	0
9,48	0
9,41	0
9,77	0
9,53	0
9,51	0
9,57	0
9,55	0
9,54	0
9,44	0
9,52	0
9,46	0
9,47	0
9,5	0
9,49	0
9,59	0
8,3	0
9,51	0
8,41	0
8,28	0
8,11	0
9,11	0
8,29	0
10,42	0
9,08	0
9,02	0
8,42	0
8,45	0
9,09	0
9,11	0
9,59	0
9,58	0
9,42	0
9,52	0
8,43	0
8,31	0
8,32	0
9,43	0
9,52	0
9,71	0
9,64	0
9,48	0
9,49	0
9,79	0
9,63	0
9,45	0
10,63	0
10,78	0
9,43	0
9,69	0
9,69	0
9,43	0
9,7	0
9,72	0
9,71	0
9,7	0
9,72	0
9,46	0
9,44	0
9,7	0
10,62	0
9,55	0
9,69	0
9,66	0
9,47	0
9,56	0
9,54	0
9,78	0
9,56	0
9,57	0
9,54	0
9,74	0
9,44	0
9,45	0
9,67	0
